Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year,Is_Winner
33,2,F,eng Liverpool,15.0,9.0,3.0,4.0,22.0,12.0,10.0,30.0,2007,0
17,3,SF,eng Manchester Utd,12.0,8.0,0.0,4.0,23.0,13.0,10.0,24.0,2007,0
25,4,SF,eng Chelsea,12.0,7.0,3.0,2.0,17.0,9.0,8.0,24.0,2007,0
42,5,QF,es Valencia,12.0,5.0,4.0,3.0,19.0,12.0,7.0,19.0,2007,0
35,6,QF,it Roma,10.0,5.0,2.0,3.0,13.0,12.0,1.0,17.0,2007,0
2,7,QF,de Bayern Munich,10.0,4.0,4.0,2.0,16.0,11.0,5.0,16.0,2007,0
11,8,QF,nl PSV Eindhoven,10.0,4.0,2.0,4.0,8.0,11.0,-3.0,14.0,2007,0
5,9,R16,eng Arsenal,10.0,5.0,3.0,2.0,13.0,6.0,7.0,18.0,2007,0
1,10,R16,fr Lyon,8.0,4.0,3.0,1.0,12.0,5.0,7.0,15.0,2007,0
50,11,R16,fr Lille,10.0,4.0,3.0,3.0,12.0,7.0,5.0,15.0,2007,0
39,12,R16,es Barcelona,8.0,4.0,2.0,2.0,14.0,6.0,8.0,14.0,2007,0
21,13,R16,es Real Madrid,8.0,4.0,2.0,2.0,18.0,12.0,6.0,14.0,2007,0
22,14,R16,pt Porto,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,2007,0
7,15,R16,it Inter,8.0,3.0,3.0,2.0,7.0,7.0,0.0,12.0,2007,0
3,16,R16,sct Celtic,8.0,3.0,1.0,4.0,8.0,10.0,-2.0,10.0,2007,0
58,17,GR,ro Steaua,10.0,4.0,3.0,3.0,16.0,14.0,2.0,15.0,2007,0
43,18,GR,ru CSKA Moscow,8.0,4.0,2.0,2.0,9.0,5.0,4.0,14.0,2007,0
12,19,GR,gr AEK Athens,8.0,4.0,2.0,2.0,11.0,10.0,1.0,14.0,2007,0
59,20,GR,dk FC Copenhagen,10.0,4.0,2.0,4.0,12.0,12.0,0.0,14.0,2007,0
8,21,GR,ua Dynamo Kyiv,10.0,3.0,3.0,4.0,18.0,20.0,-2.0,12.0,2007,0
40,22,GR,ua Shakhtar,8.0,3.0,3.0,2.0,10.0,13.0,-3.0,12.0,2007,0
49,23,GR,pt Benfica,8.0,3.0,2.0,3.0,11.0,9.0,2.0,11.0,2007,0
55,24,GR,ru Spartak Moscow,10.0,2.0,5.0,3.0,10.0,13.0,-3.0,11.0,2007,0
41,25,GR,de Werder Bremen,6.0,3.0,1.0,2.0,7.0,5.0,2.0,10.0,2007,0
54,26,GR,bg Levski Sofia,10.0,3.0,1.0,6.0,9.0,19.0,-10.0,10.0,2007,0
15,27,GR,tr Galatasaray,8.0,2.0,2.0,4.0,13.0,15.0,-2.0,8.0,2007,0
57,28,GR,fr Bordeaux,6.0,2.0,1.0,3.0,6.0,7.0,-1.0,7.0,2007,0
56,29,GR,pt Sporting CP,6.0,1.0,2.0,3.0,3.0,6.0,-3.0,5.0,2007,0
60,30,GR,de Hamburger SV,8.0,1.0,2.0,5.0,8.0,16.0,-8.0,5.0,2007,0
4,31,GR,be Anderlecht,6.0,0.0,4.0,2.0,7.0,11.0,-4.0,4.0,2007,0
16,32,GR,gr Olympiacos,6.0,0.0,3.0,3.0,6.0,11.0,-5.0,3.0,2007,0
17,1,W,eng Manchester Utd,13.0,9.0,5.0,0.0,20.0,6.0,14.0,32.0,2008,1
25,2,F,eng Chelsea,13.0,6.0,7.0,1.0,20.0,8.0,12.0,25.0,2008,0
33,3,SF,eng Liverpool,14.0,8.0,3.0,3.0,34.0,12.0,22.0,27.0,2008,0
39,4,SF,es Barcelona,12.0,8.0,3.0,1.0,18.0,6.0,12.0,27.0,2008,0
5,5,QF,eng Arsenal,12.0,7.0,3.0,2.0,24.0,9.0,15.0,24.0,2008,0
37,6,QF,tr Fenerbahçe,12.0,7.0,2.0,3.0,18.0,14.0,4.0,23.0,2008,0
35,7,QF,it Roma,10.0,5.0,2.0,3.0,15.0,11.0,4.0,17.0,2008,0
51,8,QF,de Schalke 04,10.0,3.0,2.0,5.0,6.0,7.0,-1.0,11.0,2008,0
61,9,R16,es Sevilla,10.0,8.0,0.0,2.0,25.0,13.0,12.0,24.0,2008,0
7,10,R16,it Inter,8.0,5.0,0.0,3.0,12.0,7.0,5.0,15.0,2008,0
29,11,R16,it Milan,8.0,4.0,2.0,2.0,12.0,7.0,5.0,14.0,2008,0
22,12,R16,pt Porto,8.0,4.0,2.0,2.0,9.0,8.0,1.0,14.0,2008,0
16,13,R16,gr Olympiacos,8.0,3.0,3.0,2.0,11.0,10.0,1.0,12.0,2008,0
21,14,R16,es Real Madrid,8.0,3.0,2.0,3.0,15.0,13.0,2.0,11.0,2008,0
1,15,R16,fr Lyon,8.0,3.0,2.0,3.0,12.0,12.0,0.0,11.0,2008,0
3,16,R16,sct Celtic,10.0,3.0,2.0,5.0,9.0,12.0,-3.0,11.0,2008,0
38,17,GR,no Rosenborg,10.0,6.0,1.0,3.0,21.0,12.0,9.0,19.0,2008,0
20,18,GR,sct Rangers,10.0,5.0,2.0,3.0,11.0,9.0,2.0,17.0,2008,0
27,19,GR,tr Beşiktaş,10.0,5.0,1.0,4.0,11.0,16.0,-5.0,16.0,2008,0
40,20,GR,ua Shakhtar,10.0,5.0,0.0,5.0,13.0,14.0,-1.0,15.0,2008,0
49,21,GR,pt Benfica,8.0,4.0,1.0,3.0,8.0,7.0,1.0,13.0,2008,0
62,22,GR,cz Slavia Prague,10.0,3.0,4.0,3.0,8.0,17.0,-9.0,13.0,2008,0
41,23,GR,de Werder Bremen,8.0,4.0,0.0,4.0,13.0,16.0,-3.0,12.0,2008,0
42,24,GR,es Valencia,8.0,3.0,2.0,3.0,7.0,7.0,0.0,11.0,2008,0
58,25,GR,ro Steaua,10.0,3.0,2.0,5.0,11.0,13.0,-2.0,11.0,2008,0
28,26,GR,it Lazio,8.0,2.0,3.0,3.0,12.0,13.0,-1.0,9.0,2008,0
56,27,GR,pt Sporting CP,6.0,2.0,1.0,3.0,9.0,8.0,1.0,7.0,2008,0
23,28,GR,fr Marseille,6.0,2.0,1.0,3.0,6.0,9.0,-3.0,7.0,2008,0
11,29,GR,nl PSV Eindhoven,6.0,2.0,1.0,3.0,3.0,6.0,-3.0,7.0,2008,0
8,30,GR,ua Dynamo Kyiv,8.0,2.0,0.0,6.0,8.0,19.0,-11.0,6.0,2008,0
18,31,GR,de Stuttgart,6.0,1.0,0.0,5.0,7.0,15.0,-8.0,3.0,2008,0
43,32,GR,ru CSKA Moscow,6.0,0.0,1.0,5.0,7.0,14.0,-7.0,1.0,2008,0
39,1,W,es Barcelona,15.0,8.0,6.0,2.0,36.0,14.0,22.0,30.0,2009,1
17,2,F,eng Manchester Utd,13.0,6.0,7.0,1.0,18.0,8.0,10.0,25.0,2009,0
5,3,SF,eng Arsenal,14.0,7.0,3.0,4.0,23.0,11.0,12.0,24.0,2009,0
25,4,SF,eng Chelsea,12.0,5.0,6.0,1.0,20.0,13.0,7.0,21.0,2009,0
33,5,QF,eng Liverpool,12.0,7.0,4.0,1.0,22.0,12.0,10.0,25.0,2009,0
2,6,QF,de Bayern Munich,10.0,6.0,3.0,1.0,25.0,10.0,15.0,21.0,2009,0
22,7,QF,pt Porto,10.0,4.0,3.0,3.0,13.0,13.0,0.0,15.0,2009,0
