Squad,Participaciones,W_t,D_t,L_t,GF_t,GA_t,GD_t,Pts_t,Stage_pts_t,Titulos
hr Dinamo Zagreb,6,12.0,12.0,30.0,57.0,104.0,-47.0,48.0,0.0,0
gr Panathinaikos,5,11.0,10.0,17.0,43.0,65.0,-22.0,43.0,2.0,0
nl Twente,1,1.0,3.0,2.0,9.0,11.0,-2.0,6.0,0.0,0
pt Benfica,15,44.0,31.0,45.0,153.0,160.0,-7.0,163.0,17.0,0
pl Legia Warsaw,1,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,0.0,0
ru Zenit,9,23.0,16.0,29.0,89.0,90.0,-1.0,85.0,6.0,0
ua Dynamo Kyiv,11,28.0,20.0,38.0,111.0,127.0,-16.0,104.0,2.0,0
tr Trabzonspor,1,1.0,5.0,2.0,4.0,8.0,-4.0,8.0,0.0,0
tr Galatasaray,8,14.0,14.0,30.0,64.0,105.0,-41.0,56.0,5.0,0
tr Fenerbahçe,4,14.0,6.0,14.0,50.0,55.0,-5.0,48.0,3.0,0
tr Bursaspor,1,0.0,1.0,5.0,2.0,16.0,-14.0,1.0,0.0,0
tr Beşiktaş,6,13.0,9.0,20.0,43.0,77.0,-34.0,48.0,2.0,0
tr Başakşehir,1,1.0,0.0,5.0,7.0,18.0,-11.0,3.0,0.0,0
sk MŠK Žilina,1,1.0,4.0,7.0,13.0,22.0,-9.0,7.0,0.0,0
sk Artmedia,1,3.0,5.0,4.0,14.0,16.0,-2.0,14.0,0.0,0
si NK Maribor,2,3.0,9.0,6.0,14.0,32.0,-18.0,18.0,0.0,0
se Malmö,3,8.0,3.0,19.0,23.0,61.0,-38.0,27.0,0.0,0
sct Rangers,6,11.0,15.0,20.0,41.0,73.0,-32.0,48.0,2.0,0
sct Celtic,10,24.0,18.0,40.0,86.0,125.0,-39.0,90.0,6.0,0
ru Spartak Moscow,4,8.0,9.0,13.0,36.0,52.0,-16.0,33.0,0.0,0
gr AEK Athens,3,5.0,4.0,13.0,17.0,36.0,-19.0,19.0,0.0,0
ru Rubin Kazan,2,2.0,6.0,4.0,6.0,11.0,-5.0,12.0,0.0,0
ru Rostov,1,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,0.0,0
ru Loko Moscow,4,6.0,5.0,17.0,25.0,44.0,-19.0,23.0,2.0,0
ru Krasnodar,1,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,0.0,0
ru CSKA Moscow,11,24.0,20.0,38.0,99.0,129.0,-30.0,92.0,5.0,0
rs Red Star,2,2.0,1.0,9.0,8.0,37.0,-29.0,7.0,0.0,0
rs Partizan,2,5.0,7.0,10.0,22.0,31.0,-9.0,22.0,0.0,0
ro Unirea Urziceni,1,2.0,2.0,2.0,8.0,8.0,0.0,8.0,0.0,0
ro Steaua,4,11.0,13.0,16.0,46.0,56.0,-10.0,46.0,0.0,0
ro Oțelul Galați,1,0.0,0.0,6.0,3.0,11.0,-8.0,0.0,0.0,0
ro CFR Cluj,3,8.0,4.0,10.0,26.0,30.0,-4.0,28.0,0.0,0
pt Sporting CP,8,17.0,7.0,28.0,68.0,89.0,-21.0,58.0,4.0,0
pt Braga,2,7.0,2.0,9.0,23.0,31.0,-8.0,23.0,0.0,0
gr Olympiacos,14,31.0,15.0,48.0,106.0,149.0,-43.0,108.0,6.0,0
fr Monaco,6,21.0,13.0,24.0,80.0,80.0,0.0,76.0,14.0,0
fr Rennes,1,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,0.0,0
de Schalke 04,7,23.0,19.0,20.0,86.0,91.0,-5.0,88.0,15.0,0
